Statistical profiling result from noconsolelog-v8.log, (3876 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  LazyCompile: *<anonymous> /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/source-map/lib/source-node.js:174:29
      1    0.0%    0.2%  Function: ^validChunk /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/winston-transport/node_modules/readable-stream/lib/_stream_writable.js:270:20
      1    0.0%    0.2%  Function: ^updateChildren node:internal/modules/cjs/loader:165:24
      1    0.0%    0.2%  Function: ^unenroll node:timers:78:18
      1    0.0%    0.2%  Function: ^toString node:buffer:783:46
      1    0.0%    0.2%  Function: ^stat node:fs:1467:14
      1    0.0%    0.2%  Function: ^setopts /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/glob/common.js:48:18
      1    0.0%    0.2%  Function: ^setStreamTimeout node:internal/stream_base_commons:237:26
      1    0.0%    0.2%  Function: ^setInput /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:399:40
      1    0.0%    0.2%  Function: ^setHeader node:_http_outgoing:574:57
      1    0.0%    0.2%  Function: ^session /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express-session/index.js:179:26
      1    0.0%    0.2%  Function: ^serveStatic /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/serve-static/index.js:72:31
      1    0.0%    0.2%  Function: ^send /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/express/lib/response.js:111:25
      1    0.0%    0.2%  Function: ^resolve node:path:1091:10
      1    0.0%    0.2%  Function: ^realpathSync node:fs:2425:22
      1    0.0%    0.2%  Function: ^readdirCb /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/glob/glob.js:550:20
      1    0.0%    0.2%  Function: ^push /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:79:22
      1    0.0%    0.2%  Function: ^preparePath /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      1    0.0%    0.2%  Function: ^popAsyncContext node:internal/async_hooks:554:25
      1    0.0%    0.2%  Function: ^parseurl /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/parseurl/index.js:35:19
      1    0.0%    0.2%  Function: ^originalurl /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/parseurl/index.js:65:22
      1    0.0%    0.2%  Function: ^openSync node:fs:576:18
      1    0.0%    0.2%  Function: ^onwriteStateUpdate /home/cocolizo/Desktop/Backend/Coderhouse-Backend/16 - Loggers, gzip, y analisis de performance/node_modules/winston/node_modules/readable-stream/lib/_stream_writable.js:437:28
